,name,eans,0,1,cluster_id
176,Mentos Mint,87108729,chocolat,bonbons-chewing-gum,0
177,Mentos Mint,8710800968067,chocolat,bonbons-chewing-gum,0
178,M-Budget Oursons de gomme,7613312036143,chocolat,bonbons-chewing-gum,0
179,M-Budget Oursons de gomme,7613312036150,chocolat,bonbons-chewing-gum,0
180,Spruso Light Bonbons,7613312001677,chocolat,bonbons-chewing-gum,0
181,Spruso Light Bonbons,7617015018550,chocolat,bonbons-chewing-gum,0
182,Spruso Light Bonbons,23000926,chocolat,bonbons-chewing-gum,0
183,Larry's Eucalyptus Bonbons,7610167661308,chocolat,bonbons-chewing-gum,0
184,Larry's Eucalyptus Bonbons,7613269295631,chocolat,bonbons-chewing-gum,0
185,Larry's Eucalyptus Bonbons,7610167752860,chocolat,bonbons-chewing-gum,0
186,Larry's Eucalyptus Bonbons,7613269295648,chocolat,bonbons-chewing-gum,0
187,Larry's Strawberry-Rhubarb Pastilles,7610167660400,chocolat,bonbons-chewing-gum,0
188,Larry's Strawberry-Rhubarb Pastilles,7613269295600,chocolat,bonbons-chewing-gum,0
189,Larry's Strawberry-Rhubarb Pastilles,7610167752761,chocolat,bonbons-chewing-gum,0
190,Larry's Strawberry-Rhubarb Pastilles,7613269295617,chocolat,bonbons-chewing-gum,0
191,M-Classic Strawberry,7613312098387,chocolat,bonbons-chewing-gum,0
192,M-Classic Strawberry,7613269195641,chocolat,bonbons-chewing-gum,0
193,M-Classic Strawberry,7616500636248,chocolat,bonbons-chewing-gum,0
194,M-Classic Strawberry,7616500360945,chocolat,bonbons-chewing-gum,0
195,M-Classic Strawberry,7613269195658,chocolat,bonbons-chewing-gum,0
196,M-Classic Strawberry,7613312098394,chocolat,bonbons-chewing-gum,0
197,M-Classic Strawberry,7616500369641,chocolat,bonbons-chewing-gum,0
198,Spruso Bonbons,7613312001660,chocolat,bonbons-chewing-gum,0
199,Spruso Bonbons,7610167690414,chocolat,bonbons-chewing-gum,0
200,Spruso Bonbons,23000971,chocolat,bonbons-chewing-gum,0
201,Spruso Bonbons,7617015018512,chocolat,bonbons-chewing-gum,0
202,M-Budget Bonbons durs fruit,7613269332640,chocolat,bonbons-chewing-gum,0
203,M-Budget Bonbons durs fruit,7613269332657,chocolat,bonbons-chewing-gum,0
204,Rocky Mountain Marshmallows,54300090018,chocolat,bonbons-chewing-gum,0
205,Rocky Mountain Marshmallows,10054300090015,chocolat,bonbons-chewing-gum,0
206,Rocky Mountain Marshmallows,1054300090017,chocolat,bonbons-chewing-gum,0
207,M-Classic gomme à mâcher,7613312098424,chocolat,bonbons-chewing-gum,0
208,M-Classic gomme à mâcher,7616500643680,chocolat,bonbons-chewing-gum,0
209,M-Classic gomme à mâcher,7613312098431,chocolat,bonbons-chewing-gum,0
210,M-Classic gomme à mâcher,7616500372498,chocolat,bonbons-chewing-gum,0
211,Smams Funny Fruits,7613269333098,chocolat,bonbons-chewing-gum,0
212,Smams Funny Fruits,7613269333203,chocolat,bonbons-chewing-gum,0
213,Bonherba Herbis sans sucres,7610167617015,chocolat,bonbons-chewing-gum,0
