,idx,name,eans,slug
11941,110195200000,Aha! Blévita mini Biscuit choco,7613312090688,supermarche/denrees-alimentaires/chocolat/blevita
11942,110195200000,Aha! Blévita mini Biscuit choco,7613312090695,supermarche/denrees-alimentaires/chocolat/blevita
11943,100930000000,Bâtons au kirsch,7616500640450,supermarche/denrees-alimentaires/chocolat/chocolat/pralines
11944,100930000000,Bâtons au kirsch,7616500367982,supermarche/denrees-alimentaires/chocolat/chocolat/pralines
11945,106040100000,Knorr Suprême Soupe au brocoli,7611100133135,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
11946,106040100000,Knorr Suprême Soupe au brocoli,7611100121378,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
11947,106040100000,Knorr Suprême Soupe au brocoli,7611100333139,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
11948,106040100000,Knorr Suprême Soupe au brocoli,7611100421379,supermarche/denrees-alimentaires/garnitures-ingredients/soupes-sauces-bouillon/soupes
11949,232130100000,Delicarna Gendarmes/ Schüblig paysan,7610200014597,supermarche/denrees-alimentaires/viande/produits-de-charcuterie/produits-de-charcuterie-non-refrigeres
11950,232130100000,Delicarna Gendarmes/ Schüblig paysan,7617100519344,supermarche/denrees-alimentaires/viande/produits-de-charcuterie/produits-de-charcuterie-non-refrigeres
11951,243992900000,Don Pollo Miccata dinde,7610200326591,supermarche/denrees-alimentaires/viande/volaille
11952,243992900000,Don Pollo Miccata dinde,7617027380331,supermarche/denrees-alimentaires/viande/volaille
11953,265314001000,Sélection raisins Uva Italia,2158690000003,supermarche/denrees-alimentaires/fruits-et-legumes/fruits/raisins
11954,265314001000,Sélection raisins Uva Italia,7613269579397,supermarche/denrees-alimentaires/fruits-et-legumes/fruits/raisins
11955,265314001000,Sélection raisins Uva Italia,7613269579380,supermarche/denrees-alimentaires/fruits-et-legumes/fruits/raisins
11956,204123800000,Crème à café 20 portions,22118110,supermarche/denrees-alimentaires/produits-laitiers-oeufs/creme
11957,204123800000,Crème à café 20 portions,7617027577014,supermarche/denrees-alimentaires/produits-laitiers-oeufs/creme
11958,204123800000,Crème à café 20 portions,7616600805001,supermarche/denrees-alimentaires/produits-laitiers-oeufs/creme
11959,155130600000,M-Classic MSC Thon rosé,7610200026972,supermarche/denrees-alimentaires/garnitures-ingredients/poisson-en-conserve
11960,155130600000,M-Classic MSC Thon rosé,7613269210979,supermarche/denrees-alimentaires/garnitures-ingredients/poisson-en-conserve
11961,155130600000,M-Classic MSC Thon rosé,7613269210986,supermarche/denrees-alimentaires/garnitures-ingredients/poisson-en-conserve
11962,200620700000,Gala Nature,7610900021994,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromage-frais-fromage-a-tartiner-et-cottage-cheese
11963,200620700000,Gala Nature,7617027872201,supermarche/denrees-alimentaires/produits-laitiers-oeufs/fromages/fromage-frais-fromage-a-tartiner-et-cottage-cheese
11964,101400400000,M-Budget Cacahuètes salées,7617027775939,supermarche/denrees-alimentaires/aperitif/noix-grillees
11965,101400400000,M-Budget Cacahuètes salées,7613312089712,supermarche/denrees-alimentaires/aperitif/noix-grillees
11966,101400400000,M-Budget Cacahuètes salées,7617027775946,supermarche/denrees-alimentaires/aperitif/noix-grillees
11967,100200800000,Eimalzin Chocolat au lait,7613312025406,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11968,100200800000,Eimalzin Chocolat au lait,7616500913943,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11969,100200800000,Eimalzin Chocolat au lait,7613312025413,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11970,100200800000,Eimalzin Chocolat au lait,7616500094109,supermarche/denrees-alimentaires/chocolat/chocolat/tablettes-de-chocolat
11971,107061000000,Klostergarten infus. à la fleurs d'orange,7613312133019,supermarche/denrees-alimentaires/boissons-chaudes-froides/the/the-aux-fruits
11972,107061000000,Klostergarten infus. à la fleurs d'orange,7613312133101,supermarche/denrees-alimentaires/boissons-chaudes-froides/the/the-aux-fruits
11973,204126500000,Bio Crème de café portion,7617027937559,supermarche/denrees-alimentaires/produits-laitiers-oeufs/creme
11974,204126500000,Bio Crème de café portion,7617027937566,supermarche/denrees-alimentaires/produits-laitiers-oeufs/creme
11975,130908600000,Bio Kale burger,7613269752745,supermarche/denrees-alimentaires/plats-cuisines/pizza-menus-snacks/tofu-et-substituts-de-viande-bio
11976,130908600000,Bio Kale burger,7613269752752,supermarche/denrees-alimentaires/plats-cuisines/pizza-menus-snacks/tofu-et-substituts-de-viande-bio
