id,name,barcode,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
320,JOWA TOURTE AU NOUGAT,7616700187298,/boulangerie/boulangerie-patisserie,1477.0,0.33,6.0,27.0,41.0,18.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,Petits pains au beurre,7616700009378,/boulangerie/produits-frais-de-boulangerie-refrigeres,1231.0,1.5,11.0,4.5,45.0,7.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,FREY Tartufi nocciolati,7616500656970,/chocolat/chocolat,2410.0,0.02,8.0,34.0,39.0,42.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,Knorr : Quick Noodles : Curry,7611100470254,/plats-cuisines/pizza-menus-snacks,436.0,0.68,1.4,2.3,13.0,5.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,Coquin,7616700031539,/boulangerie/boulangerie-patisserie,1700.0,0.2,6.0,40.0,71.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,M Classic Moutarde forte,7610145651055,/garnitures-ingredients/soupes-sauces-bouillon,190.0,3.0,7.0,3.0,5.0,7.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,Fonzies Gli originali,4009267003034,/aperitif/snacks,2200.0,1.23,7.8,4.7,51.0,32.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,Alnatura Crackers d'épeautre sésame,4104420053809,/aperitif/biscuits-aperitifs,1894.0,2.6,17.0,0.7,44.0,21.0,3.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,mentos fruit,87108675,/chocolat/bonbons-chewing-gum,1648.0,0.1,0.0,69.0,92.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,MIGROS BIO Sticks de sucre de canne,7610302496710,/boulangerie/ingredients-de-boulangerie,1700.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
