category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
/BOULANGERIE/INGREDIENTS_DE_BOULANGERIE,0.8361197824520051,-0.25870544912129195,-0.25255880187297236,1.3056173152001531,0.7968259178531835,0.4182097581912534,-0.08762189649996793,0.4448496201787563,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/GARNITURES_INGREDIENTS/LEGUMES_LEGUMES_AU_VINAIGRE,-1.3431378219508032,0.1429042122645931,-0.9166330506692549,-0.5434072380379397,-0.9391653889865046,-0.7651588615242939,-0.4684355203606334,-0.20169894517217396,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/BOISSONS_CHAUDES_FROIDES/SIROP_SODA,-1.385211769907506,-0.3599593268056614,-1.1625921060868876,-0.11225702441412683,-0.7984646003059884,-0.8515544393143245,-0.4983157696618054,-0.7486382046765556,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.08346387534083187,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/CHOCOLAT/SPECIALITES,1.02066066249569,-0.23375819051739372,-0.2316502511383456,1.7338897750192617,1.5840700340744647,0.21002462180382395,1.6913913274020158,-0.27042184163532773,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/POISSON_FRUITS_DE_MER/TRAITEUR,-0.6249172613609345,0.33772586075128375,1.2899305434364907,-0.6482646445420085,-1.0449573001349248,-0.1976793710763111,-0.48534145088629654,-0.5935980288930114,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PRODUITS_SURGELES/POISSON_FRUITS_DE_MER,-0.7185805069471849,-0.013536359594960424,0.8974663987888893,-0.6935847470931837,-0.9233191426277826,-0.3302757846486002,-0.49117049265500345,-0.6372827543641846,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/BOISSONS_CHAUDES_FROIDES/BOISSONS_SUCREES,-1.4300607458789212,-0.3533174910551472,-1.1540666401531086,-0.3281388273171288,-0.9120999696717068,-0.8230456921165705,-0.4983157696618054,-0.7697396219023909,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.05890866551105218,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/BOISSONS_CHAUDES_FROIDES/JUS_DE_FRUITS_DE_LEGUMES,-1.3690737760099647,-0.3392493368623483,-1.0984940306762103,-0.16250770073149853,-0.807056450906369,-0.8288924435486681,-0.49343434279577236,-0.6857700293683389,-0.056279643844132185,-0.013633434783666869,-0.08787066538469161,-0.0872908020245295,-0.07078636788288377,-0.20893153401354467,0.5731732308201354,-0.10267180510800034,-0.05000363851389835,-0.08731494124070523,-0.08592040056465403,-0.05947512296724468
/GARNITURES_INGREDIENTS/LEGUMES_A_SALADE,-1.219227844554398,-0.17457736104994503,-0.6330509345768276,-0.619006709390737,-0.7946070980267803,-0.7936764653786212,-0.4983157696618054,0.13099761487705625,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/BOISSONS_CHAUDES_FROIDES/EAU_AROMATISEE,-1.539302350210356,-0.3595820938506963,-1.1628899286088514,-0.5335699234701881,-1.0418221668562255,-0.8520905146737856,-0.49312604215160183,-0.7789584770843194,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/GARNITURES_INGREDIENTS/GARNITURES_MOULUES_CEREALES,0.38637941528717357,-0.3525197199216658,0.1504997567771298,-0.6869610397972428,1.4735997670868901,-0.7688429538882501,-0.4161450840835823,0.18919340231489698,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/POISSON_FRUITS_DE_MER/FRUITS_DE_MER_CREVETTES,-1.1626556179313887,0.16365593168824383,0.8288096417372716,-0.7206315518849428,-1.1473716539057703,-0.7289319532787251,-0.4983157696618054,-0.6732079649751758,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/VIANDE/PRODUITS_DE_CHARCUTERIE,-0.24789964278195162,0.3029822280889267,1.0754677817227776,-0.6842011617572674,-1.077020344212198,0.47760829591691506,-0.08746234177068986,-0.628056060928575,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/GARNITURES_INGREDIENTS/ANTIPASTI,-0.758636808447662,0.16935798071906688,-0.8273876509290446,-0.38829205627117597,-0.8572522515773104,-0.06172049833375688,-0.4983157696618054,0.20273897352887735,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/BOISSONS_CHAUDES_FROIDES/THE_GLACE,-1.490079723825845,-0.3551545806930809,-1.112081597273679,-0.39344801024585724,-0.9589978915754136,-0.8417572819248822,-0.4983157696618054,-0.7691557610742021,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.04934236501486716,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/BOISSONS_CHAUDES_FROIDES/CAFE,-0.15561355289306975,-0.2560366880968387,-0.5031443141844611,0.15351381930993713,0.625275945088482,-0.6239353209059747,-0.4983157696618054,0.08985921341237561,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PETIT_DEJEUNER/CONFITURES,-0.1600046016552672,-0.3425586609077793,-1.0883407513000742,2.757366754092076,1.0942846763789658,-0.8287094548025377,-0.4942072353828943,-0.39157296348450404,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,0.7829257781532288,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/GARNITURES_INGREDIENTS/VIANDE_EN_CONSERVE,-0.5912743655655951,-0.06294209465345697,0.3455138487031706,-0.6484607411395856,-0.9158627819822742,-0.0779221317979732,-0.3134317271108034,-0.5414208450391599,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PRODUITS_LAITIERS_OEUFS/LAIT_BOISSONS_LACTEES,-1.242673501830263,-0.3268678789840377,-0.7512304749804096,-0.27568110914532734,-0.8754979410190201,-0.7047268201155396,-0.43863390329446444,-0.7058836850088999,-0.10961034103739145,-0.025374509931077628,-0.0825917737953265,-0.17289188425320412,-0.025794360275235625,0.12687500503039256,-0.1462412078398608,-0.09598273021298648,-0.1769115650574023,-0.14725841510352486,-0.028948891584421554,-0.15197066242595947
/BOULANGERIE/BOULANGERIE_PATISSERIE,0.904075318961764,-0.18654316425012418,-0.26620148461062915,1.2200583617841374,0.8886697953737679,0.48462561470540294,0.8640406581697958,-0.23514234898019706,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/BOULANGERIE/PRODUITS_FRAIS_DE_BOULANGERIE_REFRIGERES,0.3432326719625016,0.11088860909972631,0.2973734674048629,-0.40093731565433605,0.6713365238748068,-0.18831930865879565,0.8462954488909362,0.06358901469435335,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/APERITIF/SNACKS,1.225334249876653,0.3806142235003772,-0.15412304610497007,-0.50315316233488,1.2805188003366472,0.6869875452684232,0.17959238635853522,0.109048772632181,-0.10961034103739145,-0.16407755890644335,-0.11348348487729804,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/APERITIF/BISCUITS_APERITIFS,1.0623590043308813,0.5797154426372935,0.47099089999829746,-0.4283420682646132,1.209083407200919,0.24534673954927944,0.2247862634265579,0.3914739324436678,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/APERITIF/CHIPS,1.684964480058286,0.03245989200707233,-0.2691058929889112,-0.5091992207387331,1.0061514790375015,1.3513664809962833,0.3386786555303276,0.5533487586721324,-0.10961034103739145,-0.16407755890644335,1.901129697354808,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/GARNITURES_INGREDIENTS/PATES,0.5628746962541589,-0.27944532152023055,0.8938073948415604,-0.5647804930545474,1.5817058632872851,-0.6837437392829926,-0.4983157696618054,-0.06487758207705585,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/GARNITURES_INGREDIENTS/POMMES_DE_TERRE_SPAETZLI,-0.9216663971896812,-0.08894795625100138,-0.8073560201665853,-0.7064641779464024,-0.5843329482641043,-0.5322423554030661,-0.15867693593848325,-0.3225281768799105,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PRODUITS_SURGELES/APERITIF_DESSERT,0.3122370774465536,0.0014762087383239832,-0.16180127530129307,-0.5203000175122757,-0.27894903532274534,0.11494307449736053,-0.08481167449397299,-0.28883417536556544,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/CHOCOLAT/BLEVITA,1.2587203282565411,0.07197134549591258,0.4615082648388546,-0.20465701965576122,1.1182486261529323,0.4359916969907438,0.49868854868730156,1.4323758270646354,-0.10961034103739145,1.4538932759880467,-0.22217654238793866,1.3075662747723966,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.05066921966690236,-0.1769115650574023,1.5622774294549664,1.5614352843650257,-0.07560088852185877
/APERITIF/NOIX_GRILLEES,2.1692933445048004,-0.03577557007013034,1.6266366072540266,-0.26886460654133076,-0.48727376467742517,2.686389126852446,0.5325528312286298,1.3212747783196668,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PRODUITS_SURGELES/LEGUMES_POMMES_DE_TERRE,-1.0719191676951763,-0.2495783719853469,-0.7192168448117644,-0.6125862693028196,-0.7534238820297428,-0.6221809912088527,-0.49127256804081487,0.019293237659545413,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PRODUITS_SURGELES/FRUITS,-1.1101746495928362,-0.273173993927181,-0.9643950359573574,-0.18650315521503408,-0.7532217371472956,-0.7070320708929858,-0.33397439850535926,0.7039251084461446,-0.10961034103739145,-0.16407755890644335,-0.22217654238793866,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
/PRODUITS_LAITIERS_OEUFS/BIRCHERMUEESLI,-0.7925724492648197,-0.32910392840984354,-0.6107769570872275,0.16207780450064876,-0.43411736699699066,-0.5493603603264986,-0.2383576007416087,-0.4536055225667088,-0.02799821351437348,-0.07774314676780457,-0.2150620877145149,-0.10523107943679987,-0.18552425966102948,-0.20893153401354467,-0.09749010883450908,-0.10369987271489398,-0.1769115650574023,-0.0962713587799408,-0.023837145294516176,-0.04868018900093275
/GARNITURES_INGREDIENTS/INGREDIENTS_DE_CUISSON,2.450583689288966,-0.30923420229212384,-1.0795605171880096,-0.41688471650468084,-0.9798382454076443,4.165780891200891,-0.4983157696618054,-0.7249141776737023,-0.10961034103739145,-0.16407755890644335,6.07500833790595,-0.20497243826098197,-0.18552425966102948,-0.20893153401354467,-0.2258840923535542,-0.10588586910007837,-0.1769115650574023,-0.17325843720230613,-0.16015037969199275,-0.19405196641393335
