,category,Énergie (kJ),Sel (g),Protéines (g),Sucres (g),Glucides (g),Matières grasses (g),Acides gras saturés (g),Fibres alimentaires (g),Biotine (µg),Vitamine B1 (Thiamine) (mg),Vitamine E (Tocopherol) (mg),Acide folique (µg),Vitamine A (µg),Vitamine D (Cholacalciferol) (µg),Vitamine C (Acide ascorbique) (mg),Vitamine B6 (Pyridoxine) (mg),Vitamine B5 (acide pantothénique) (mg),Vitamine B3 (Niacine) (mg),Vitamine B2 (Riboflavine) (mg),Vitamine B12 (Cobalamine) (µg)
40,/BOULANGERIE/BOULANGERIE_PATISSERIE,1669.2755102040817,0.5630612244897959,6.101020408163265,29.790816326530614,50.744897959183675,18.178571428571427,1.3816326530612246,2.0336734693877547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,/BOULANGERIE/PRODUITS_FRAIS_DE_BOULANGERIE_REFRIGERES,1301.1818181818182,1.5272727272727273,9.909090909090908,5.318181818181818,45.45454545454545,9.045454545454545,1.3636363636363635,3.1363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,/APERITIF/SNACKS,1880.125,2.401666666666667,6.858333333333333,3.775000000000001,60.28333333333334,20.925,0.6875,3.304166666666667,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,/APERITIF/BISCUITS_APERITIFS,1773.1606666666667,3.0471111111111098,11.082222222222223,4.904444444444444,58.544444444444444,14.931111111111111,0.7333333333333333,4.346666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,/APERITIF/CHIPS,2181.7906976744184,1.2730232558139536,6.0813953488372094,3.683720930232558,53.604651162790695,29.941860465116278,0.8488372093023255,4.9441860465116285,0.0,0.0,2.441860465116279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,/GARNITURES_INGREDIENTS/PATES,1445.337837837838,0.26189189189189194,13.93918918918919,2.8445945945945947,67.61486486486487,2.3216216216216217,0.0,2.6621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,/GARNITURES_INGREDIENTS/POMMES_DE_TERRE_SPAETZLI,471.0,0.8794444444444446,2.4444444444444446,0.7055555555555555,14.88888888888889,4.377777777777777,0.34444444444444444,1.7111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,/PRODUITS_SURGELES/APERITIF_DESSERT,1280.8387096774193,1.1725806451612903,6.806451612903226,3.5161290322580645,22.322580645161292,13.161290322580646,0.41935483870967744,1.8354838709677421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,/CHOCOLAT/BLEVITA,1902.037037037037,1.401111111111111,11.018148148148148,8.281481481481482,56.333333333333336,17.51851851851852,1.011111111111111,8.188888888888888,0.0,0.1703703703703704,0.0,24.814814814814813,0.0,0.0,0.0,0.2296296296296296,0.0,2.459259259259259,0.2296296296296296,0.022222222222222223
49,/APERITIF/NOIX_GRILLEES,2499.6666666666665,1.0518181818181818,18.89090909090909,7.312121212121212,17.25151515151515,48.06060606060607,1.0454545454545454,7.77878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,/PRODUITS_SURGELES/LEGUMES_POMMES_DE_TERRE,372.3857142857143,0.35871428571428554,3.0399999999999996,2.1228571428571428,10.772857142857143,3.157142857142857,0.007142857142857143,2.972857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,/PRODUITS_SURGELES/FRUITS,347.27777777777777,0.28222222222222215,1.3833333333333333,8.555555555555555,10.777777777777779,2.0055555555555555,0.16666666666666666,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,/PRODUITS_LAITIERS_OEUFS/BIRCHERMUEESLI,555.7272727272727,0.10090909090909092,3.772727272727273,13.818181818181818,18.545454545454547,4.1454545454545455,0.2636363636363636,1.2272727272727273,0.36363636363636365,0.009090909090909092,0.00818181818181818,1.6363636363636365,0.0,0.0,0.6363636363636364,0.009090909090909092,0.0,0.10909090909090909,0.018181818181818184,0.02727272727272727
53,/GARNITURES_INGREDIENTS/INGREDIENTS_DE_CUISSON,2684.283870967742,0.16532258064516128,0.6051612903225806,5.077419354838709,5.261451612903225,68.13870967741936,0.0,0.22580645161290322,0.0,0.0,7.241935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
